,iModulon,Gene
1023,Photosinthesis_via_phycocyanin,SGL_RS05240
1024,Photosinthesis_via_phycocyanin,SGL_RS05245
1025,Photosinthesis_via_phycocyanin,SGL_RS05250
1026,Photosinthesis_via_phycocyanin,SGL_RS05350
1027,Photosinthesis_via_phycocyanin,SGL_RS05540
1028,Photosinthesis_via_phycocyanin,SGL_RS05545
1029,Photosinthesis_via_phycocyanin,SGL_RS05550
1030,Photosinthesis_via_phycocyanin,SGL_RS05705
1031,Photosinthesis_via_phycocyanin,SGL_RS06165
1032,Photosinthesis_via_phycocyanin,SGL_RS06170
1033,Photosinthesis_via_phycocyanin,SGL_RS06805
1034,Photosinthesis_via_phycocyanin,SGL_RS06985
1035,Photosinthesis_via_phycocyanin,SGL_RS19820
1036,Photosinthesis_via_phycocyanin,SGL_RS07210
1037,Photosinthesis_via_phycocyanin,SGL_RS07215
1038,Photosinthesis_via_phycocyanin,SGL_RS19445
1039,Photosinthesis_via_phycocyanin,SGL_RS07765
1040,Photosinthesis_via_phycocyanin,SGL_RS19450
1041,Photosinthesis_via_phycocyanin,SGL_RS07975
1042,Photosinthesis_via_phycocyanin,SGL_RS08285
1043,Photosinthesis_via_phycocyanin,SGL_RS08330
1044,Photosinthesis_via_phycocyanin,SGL_RS08335
1045,Photosinthesis_via_phycocyanin,SGL_RS08900
1046,Photosinthesis_via_phycocyanin,SGL_RS09030
1047,Photosinthesis_via_phycocyanin,SGL_RS19200
1048,Photosinthesis_via_phycocyanin,SGL_RS09835
1049,Photosinthesis_via_phycocyanin,SGL_RS09840
1050,Photosinthesis_via_phycocyanin,SGL_RS19875
1051,Photosinthesis_via_phycocyanin,SGL_RS09980
1052,Photosinthesis_via_phycocyanin,SGL_RS10185
1053,Photosinthesis_via_phycocyanin,SGL_RS10190
1054,Photosinthesis_via_phycocyanin,SGL_RS10195
1055,Photosinthesis_via_phycocyanin,SGL_RS10200
1056,Photosinthesis_via_phycocyanin,SGL_RS10275
1057,Photosinthesis_via_phycocyanin,SGL_RS10895
1058,Photosinthesis_via_phycocyanin,SGL_RS11180
1059,Photosinthesis_via_phycocyanin,SGL_RS11565
